cluster_id,name,latitude,longitude
2,POP_1BSB10019_Bintan_Gunung Kijang 7247,1.1864000,104.5767020
2,FDT_BSBF10009,1.1864010,104.5766940
1,POP_1BSB10018_Bintan_Teluk Sebong 8949,1.10151755809783,104.462203979492
1,FDT_BSBF10008,1.1014750,104.4622340
3,POP_1TPG10010_PLTD_SUKA_BERENANG,0.8975780,104.4833810
3,FDT_TPGF10008,0.8975910,104.4833950
4,POP_1TPG10004 TANJUNG PINANG 6392,0.9519690,104.4464810
4,FDT_TPGF10002,0.9486480,104.4475620
5,POP_1TPG10005 TANJUNG PINANG TIMUR 9406,0.9233000,104.5024690
5,FDT_TPGF10003,0.9232930,104.5024650
